name,arch,# of symbols,train SNR(dB),0,2,5,7,10,12,15
CCCCCC_512_0dB_Rayleigh_435,CCCCCC,512,0,17.93029022216797,18.36964988708496,18.2095947265625,18.557003021240234,18.357637405395508,18.452716827392578,18.257909774780273
CCCCCC_512_10dB_Rayleigh_586,CCCCCC,512,10,15.749411582946777,17.781360626220703,19.36785888671875,20.16966438293457,21.517757415771484,21.39327621459961,21.9480037689209
CCCCCC_512_12dB_Rayleigh_407,CCCCCC,512,12,16.41458511352539,18.210649490356445,20.75033187866211,21.816993713378906,22.96302604675293,23.085012435913086,24.63422966003418
CCCCCC_512_15dB_Rayleigh_576,CCCCCC,512,15,15.634660720825195,16.256620407104492,19.02646255493164,20.52082061767578,21.43528938293457,21.977771759033203,23.06610870361328
CCCCCC_512_2dB_Rayleigh_399,CCCCCC,512,2,18.030305862426758,19.27906036376953,19.83780860900879,19.85503387451172,19.842905044555664,20.200817108154297,19.764022827148438
CCCCCC_512_5dB_Rayleigh_392,CCCCCC,512,5,17.871732711791992,19.118906021118164,20.713348388671875,21.00094223022461,21.53821563720703,21.535436630249023,20.934511184692383
CCCCCC_512_7dB_Rayleigh_442,CCCCCC,512,7,17.058612823486328,18.90355682373047,20.810203552246094,21.206562042236328,21.6141300201416,21.462453842163086,21.523910522460938
CCVVCC_512_0dB_Rayleigh_594,CCVVCC,512,0,19.987438201904297,20.88423728942871,21.25404930114746,21.447525024414062,21.74249267578125,21.666629791259766,21.868921279907227
CCVVCC_512_10dB_Rayleigh_585,CCVVCC,512,10,17.21994972229004,18.166454315185547,21.94597625732422,23.222789764404297,25.23442268371582,26.839359283447266,26.866535186767578
CCVVCC_512_12dB_Rayleigh_309,CCVVCC,512,12,16.446250915527344,18.344327926635742,21.368511199951172,23.774675369262695,25.128080368041992,26.76898765563965,27.839262008666992
CCVVCC_512_15dB_Rayleigh_459,CCVVCC,512,15,15.712698936462402,17.761220932006836,21.00578498840332,23.097196578979492,25.021499633789062,27.218116760253906,28.528234481811523
CCVVCC_512_2dB_Rayleigh_440,CCVVCC,512,2,19.95245361328125,20.709630966186523,22.132457733154297,22.619693756103516,22.699981689453125,23.279457092285156,23.48602294921875
CCVVCC_512_5dB_Rayleigh_590,CCVVCC,512,5,19.658388137817383,20.230785369873047,22.896512985229492,23.59671974182129,23.753339767456055,24.34239387512207,23.948598861694336
CCVVCC_512_7dB_Rayleigh_274,CCVVCC,512,7,17.748659133911133,19.51239776611328,22.134801864624023,24.05169677734375,24.991086959838867,25.12307357788086,25.60642433166504
